Key,English,Indonesia
Phone Calculator,Calculator,Kalkulator
Phone Shop,Shop,Toko
Phone Telephone,Telephone,Telepon
Phone Upgrade,Upgrade,Perbaikan
Phone Search,search here ...,cari di sini ...
Phone Product,Our Product,Produk Kami
Phone Buy,Buy,Beli
Phone Warning,Warning !!!,Peringatan !!!
Phone Storage Full,You don't have enough storage to store this item,Maaf anda tidak memiliki penyimpanan lemari yang cukup untuk menaruh barang ini
Phone Cant Deliver,Shipping is not available right now,Maaf ongkir tidak tersedia saat malam
Phone No Money,You don't have enough money to buy this item.,Maaf anda tidak memiliki cukup uang untuk membeli barang ini
Phone Success,Successful purchase. Items will be delivered soon,Pembelian sukses. Barang akan segera diantar
